# 放一些总是被检测工具识别为不可播放其实可播放的源
cdn6,#genre#
CCTV2财经,http://119.91.7.169:2026/ysws.php?id=CCTV2
CCTV3综艺,http://119.91.7.169:2026/ysws.php?id=CCTV3
CCTV4中文国际,http://119.91.7.169:2026/ysws.php?id=CCTV4
CCTV5体育,http://119.91.7.169:2026/ysws.php?id=CCTV5
CCTV5+体育赛事,http://119.91.7.169:2026/ysws.php?id=CCTV5p
CCTV6电影,http://119.91.7.169:2026/ysws.php?id=CCTV6
CCTV7国防军事,http://119.91.7.169:2026/ysws.php?id=CCTV7
CCTV8电视剧,http://119.91.7.169:2026/ysws.php?id=CCTV8
CCTV9纪录,http://119.91.7.169:2026/ysws.php?id=CCTV9
CCTV10科教,http://119.91.7.169:2026/ysws.php?id=CCTV10
CCTV11戏曲,http://119.91.7.169:2026/ysws.php?id=CCTV11
CCTV12社会与法,http://119.91.7.169:2026/ysws.php?id=CCTV12
CCTV13新闻,http://119.91.7.169:2026/ysws.php?id=CCTV13
CCTV14少儿,http://119.91.7.169:2026/ysws.php?id=CCTV14
CCTV15音乐,http://119.91.7.169:2026/ysws.php?id=CCTV15
CCTV16奥林匹克,http://119.91.7.169:2026/ysws.php?id=CCTV16
CCTV17农业农村,http://119.91.7.169:2026/ysws.php?id=CCTV17
东方卫视,http://hlsbkmgsplive.miguvideo.com/wd_r4/dfl/dongfangwshd/3000/index.m3u8?&encrypt=
北京卫视,http://119.91.7.169:2026/ysws.php?id=北京卫视
天津卫视,http://119.91.7.169:2026/ysws.php?id=天津卫视
海南卫视,http://119.91.7.169:2026/ysws.php?id=海南卫视
湖南卫视,http://119.91.7.169:2026/ysws.php?id=湖南卫视
广东卫视,http://119.91.7.169:2026/ysws.php?id=广东卫视
广西卫视,http://119.91.7.169:2026/ysws.php?id=广西卫视
深圳卫视,http://119.91.7.169:2026/ysws.php?id=深圳卫视
江苏卫视,http://119.91.7.169:2026/ysws.php?id=江苏卫视
江西卫视,http://119.91.7.169:2026/ysws.php?id=江西卫视
浙江卫视,http://119.91.7.169:2026/ysws.php?id=浙江卫视
湖北卫视,http://119.91.7.169:2026/ysws.php?id=湖北卫视
安徽卫视,http://119.91.7.169:2026/ysws.php?id=安徽卫视
山东卫视,http://119.91.7.169:2026/ysws.php?id=山东卫视
山西卫视,http://119.91.7.169:2026/ysws.php?id=山西卫视
河南卫视,http://119.91.7.169:2026/ysws.php?id=河南卫视
河北卫视,http://119.91.7.169:2026/ysws.php?id=河北卫视
龙江卫视,http://119.91.7.169:2026/ysws.php?id=黑龙江卫视
吉林卫视,http://119.91.7.169:2026/ysws.php?id=吉林卫视
辽宁卫视,http://119.91.7.169:2026/ysws.php?id=辽宁卫视
云南卫视,http://119.91.7.169:2026/ysws.php?id=云南卫视
贵州卫视,http://119.91.7.169:2026/ysws.php?id=贵州卫视
四川卫视,http://119.91.7.169:2026/ysws.php?id=四川卫视
重庆卫视,http://119.91.7.169:2026/ysws.php?id=重庆卫视
东南卫视,http://119.91.7.169:2026/ysws.php?id=东南卫视

113.118.133.195:9999龙华电信,#genre#
CCTV1,http://113.118.133.195:9999/rtp/239.77.0.14:5146
CCTV1,http://113.118.133.195:9999/rtp/239.77.0.30:5146
CCTV1,http://113.118.133.195:9999/rtp/239.77.0.86:5146
CCTV1,http://113.118.133.195:9999/rtp/239.77.0.119:5146
CCTV1,http://113.118.133.195:9999/rtp/239.77.1.17:5146
CCTV1,http://113.118.133.195:9999/rtp/239.77.1.144:5146
CCTV1,http://113.118.133.195:9999/rtp/239.77.0.129:5146
CCTV2,http://113.118.133.195:9999/rtp/239.77.0.137:5146
CCTV2,http://113.118.133.195:9999/rtp/239.77.1.158:5146
CCTV3,http://113.118.133.195:9999/rtp/239.77.0.32:5146
CCTV3,http://113.118.133.195:9999/rtp/239.77.0.169:5146
CCTV3,http://113.118.133.195:9999/rtp/239.77.1.7:5146
CCTV4,http://113.118.133.195:9999/rtp/239.77.0.33:5146
CCTV4,http://113.118.133.195:9999/rtp/239.77.0.78:5146
CCTV4,http://113.118.133.195:9999/rtp/239.77.1.163:5146
CCTV4,http://113.118.133.195:9999/rtp/239.77.1.166:5146
CCTV4欧洲,http://113.118.133.195:9999/rtp/239.253.43.120:5146
CCTV4美洲,http://113.118.133.195:9999/rtp/239.253.43.121:5146
CCTV5,http://113.118.133.195:9999/rtp/239.77.0.170:5146
CCTV5,http://113.118.133.195:9999/rtp/239.77.1.8:5146
CCTV5,http://113.118.133.195:9999/rtp/239.77.0.34:5146
CCTV5+,http://113.118.133.195:9999/rtp/239.77.0.87:5146
CCTV5+,http://113.118.133.195:9999/rtp/239.77.1.31:5146
CCTV6,http://113.118.133.195:9999/rtp/239.77.0.35:5146
CCTV6,http://113.118.133.195:9999/rtp/239.77.0.171:5146
CCTV6,http://113.118.133.195:9999/rtp/239.77.1.9:5146
CCTV7,http://113.118.133.195:9999/rtp/239.77.0.36:5146
CCTV7,http://113.118.133.195:9999/rtp/239.77.0.138:5146
CCTV7,http://113.118.133.195:9999/rtp/239.77.1.159:5146
CCTV8,http://113.118.133.195:9999/rtp/239.77.0.37:5146
CCTV8,http://113.118.133.195:9999/rtp/239.77.0.172:5146
CCTV8,http://113.118.133.195:9999/rtp/239.77.1.10:5146
CCTV9,http://113.118.133.195:9999/rtp/239.77.0.38:5146
CCTV9,http://113.118.133.195:9999/rtp/239.77.0.135:5146
CCTV9,http://113.118.133.195:9999/rtp/239.77.1.160:5146
CCTV10,http://113.118.133.195:9999/rtp/239.77.0.39:5146
CCTV10,http://113.118.133.195:9999/rtp/239.77.0.134:5146
CCTV10,http://113.118.133.195:9999/rtp/239.77.1.113:5146
CCTV11,http://113.118.133.195:9999/rtp/239.77.0.40:5146
CCTV11,http://113.118.133.195:9999/rtp/239.77.1.108:5146
CCTV11,http://113.118.133.195:9999/rtp/239.77.1.238:5146
CCTV12,http://113.118.133.195:9999/rtp/239.77.0.41:5146
CCTV12,http://113.118.133.195:9999/rtp/239.77.0.136:5146
