海南省三亚市吉阳区组播海南电信|节目数量209,#genre#
东方卫视,http://223.198.231.59:885/udp/239.253.64.201:5140
深圳卫视,http://223.198.231.59:885/udp/239.253.64.203:5140
北京卫视,http://223.198.231.59:885/udp/239.253.64.204:5140
山东卫视,http://223.198.231.59:885/udp/239.253.64.208:5140
天津卫视,http://223.198.231.59:885/udp/239.253.64.198:5140
贵州卫视,http://223.198.231.59:885/udp/239.253.64.197:5140
四川卫视SD,http://223.198.231.59:885/udp/239.253.64.36:5140
云南卫视SD,http://223.198.231.59:885/udp/239.253.64.147:5140
广西卫视SD,http://223.198.231.59:885/udp/239.253.64.45:5140
黑龙江卫视,http://223.198.231.59:885/udp/239.253.64.205:5140
安徽卫视,http://223.198.231.59:885/udp/239.253.64.129:5140
山西卫视SD,http://223.198.231.59:885/udp/239.253.64.31:5140
江西卫视,http://223.198.231.59:885/udp/239.253.64.56:5140
湖北卫视,http://223.198.231.59:885/udp/239.253.64.207:5140
海南卫视,http://223.198.231.59:885/udp/239.253.64.253:5140
陕西卫视SD,http://223.198.231.59:885/udp/239.253.64.37:5140
东南卫视,http://223.198.231.59:885/udp/239.253.64.66:5140
厦门卫视SD,http://223.198.231.59:885/udp/239.253.64.179:5140
吉林卫视,http://223.198.231.59:885/udp/239.253.64.57:5140
辽宁卫视,http://223.198.231.59:885/udp/239.253.64.150:5140
内蒙古卫视SD,http://223.198.231.59:885/udp/239.253.64.144:5140
湖南卫视,http://223.198.231.59:885/udp/239.253.64.114:5140
广东卫视,http://223.198.231.59:885/udp/239.253.64.200:5140
河南卫视,http://223.198.231.59:885/udp/239.253.64.157:5140
河北卫视,http://223.198.231.59:885/udp/239.253.64.210:5140
宁夏卫视,http://223.198.231.59:885/udp/239.253.64.88:5140
甘肃卫视,http://223.198.231.59:885/udp/239.253.64.156:5140
青海卫视SD,http://223.198.231.59:885/udp/239.253.64.46:5140
新疆卫视,http://223.198.231.59:885/udp/239.253.64.85:5140
西藏卫视,http://223.198.231.59:885/udp/239.253.64.84:5140
兵团卫视,http://223.198.231.59:885/udp/239.253.64.86:5140
三沙卫视,http://223.198.231.59:885/udp/239.253.64.112:5140
金鹰卡通SD,http://223.198.231.59:885/udp/239.253.64.148:5140
嘉佳卡通SD,http://223.198.231.59:885/udp/239.253.64.127:5140
卡酷少儿SD,http://223.198.231.59:885/udp/239.253.64.230:5140
山东教育卫视SD,http://223.198.231.59:885/udp/239.253.64.241:5140
财富天下SD,http://223.198.231.59:885/udp/239.253.64.217:5140
睛彩竞技,http://223.198.231.59:885/udp/239.253.64.151:5140
睛彩广场舞,http://223.198.231.59:885/udp/239.253.64.154:5140
睛彩篮球,http://223.198.231.59:885/udp/239.253.64.152:5140
睛彩青少,http://223.198.231.59:885/udp/239.253.64.153:5140
古装剧场,http://223.198.231.59:885/udp/239.253.64.221:5140
军旅剧场,http://223.198.231.59:885/udp/239.253.64.228:5140
海南自贸,http://223.198.231.59:885/udp/239.253.64.119:5140
海南新闻,http://223.198.231.59:885/udp/239.253.64.121:5140
海南社会与法,http://223.198.231.59:885/udp/239.253.64.14:5140
海南文旅,http://223.198.231.59:885/udp/239.253.64.122:5140
海南少儿,http://223.198.231.59:885/udp/239.253.64.124:5140
海口1SD,http://223.198.231.59:885/udp/239.253.64.6:5140
海口2SD,http://223.198.231.59:885/udp/239.253.64.7:5140
海口3SD,http://223.198.231.59:885/udp/239.253.64.8:5140
三亚1SD,http://223.198.231.59:885/udp/239.253.64.9:5140
海南万宁SD,http://223.198.231.59:885/udp/239.253.64.167:5140
海南东方SD,http://223.198.231.59:885/udp/239.253.64.111:5140
海南临高SD,http://223.198.231.59:885/udp/239.253.64.155:5140
海南保亭SD,http://223.198.231.59:885/udp/239.253.64.159:5140
海南儋州SD,http://223.198.231.59:885/udp/239.253.64.107:5140
海南定安SD,http://223.198.231.59:885/udp/239.253.64.110:5140
海南屯昌SD,http://223.198.231.59:885/udp/239.253.64.117:5140
海南文昌SD,http://223.198.231.59:885/udp/239.253.64.105:5140
海南昌江SD,http://223.198.231.59:885/udp/239.253.64.108:5140
海南澄迈SD,http://223.198.231.59:885/udp/239.253.64.109:5140
海南琼中SD,http://223.198.231.59:885/udp/239.253.64.165:5140
海南琼海SD,http://223.198.231.59:885/udp/239.253.64.106:5140
海南白沙SD,http://223.198.231.59:885/udp/239.253.64.118:5140
海南陵水SD,http://223.198.231.59:885/udp/239.253.64.116:5140
海南风景SD,http://223.198.231.59:885/udp/239.253.64.166:5140
海南风景SD,http://223.198.231.59:885/udp/239.253.64.69:5140
海南风景SD,http://223.198.231.59:885/udp/239.253.64.82:5140
海南风景SD,http://223.198.231.59:885/udp/239.253.64.83:5140
少儿动画,http://223.198.231.59:885/udp/239.253.64.232:5140
IPTV3,http://223.198.231.59:885/udp/239.253.64.238:5140
IPTV3,http://223.198.231.59:885/udp/239.253.64.10:5140
IPTV5,http://223.198.231.59:885/udp/239.253.64.125:5140
IPTV5,http://223.198.231.59:885/udp/239.253.64.26:5140
IPTV8,http://223.198.231.59:885/udp/239.253.64.160:5140
IPTV8,http://223.198.231.59:885/udp/239.253.64.164:5140
IPTV热播剧场,http://223.198.231.59:885/udp/239.253.64.211:5140
IPTV经典电影,http://223.198.231.59:885/udp/239.253.64.227:5140
IPTV魅力时尚,http://223.198.231.59:885/udp/239.253.64.231:5140
IPTV谍战剧场,http://223.198.231.59:885/udp/239.253.64.212:5140
IPTV相声小品,http://223.198.231.59:885/udp/239.253.64.214:5140
IPTV野外,http://223.198.231.59:885/udp/239.253.64.215:5140
IPTV法治,http://223.198.231.59:885/udp/239.253.64.213:5140
城市剧场,http://223.198.231.59:885/udp/239.253.64.218:5140
音乐现场,http://223.198.231.59:885/udp/239.253.64.235:5140
IPTV国学,http://223.198.231.59:885/udp/239.253.64.222:5140
地理,http://223.198.231.59:885/udp/239.253.64.219:5140
美人,http://223.198.231.59:885/udp/239.253.64.123:5140
解密,http://223.198.231.59:885/udp/239.253.64.141:5140
军事,http://223.198.231.59:885/udp/239.253.64.229:5140
戏曲,http://223.198.231.59:885/udp/239.253.64.234:5140
早教,http://223.198.231.59:885/udp/239.253.64.236:5140
动画,http://223.198.231.59:885/udp/239.253.64.163:5140
好学生,http://223.198.231.59:885/udp/239.253.64.223:5140
墨宝,http://223.198.231.59:885/udp/239.253.64.158:5140
爱生活,http://223.198.231.59:885/udp/239.253.64.216:5140
武术,http://223.198.231.59:885/udp/239.253.64.170:5140
高网,http://223.198.231.59:885/udp/239.253.64.250:5140
足球,http://223.198.231.59:885/udp/239.253.64.237:5140
武侠剧场,http://223.198.231.59:885/udp/239.253.64.254:5140
喜剧影院,http://223.198.231.59:885/udp/239.253.64.233:5140
动作影院,http://223.198.231.59:885/udp/239.253.64.220:5140
家庭影院,http://223.198.231.59:885/udp/239.253.64.225:5140
爱上4K,http://223.198.231.59:885/udp/239.253.64.49:5140
电信宣传,http://223.198.231.59:885/udp/239.253.64.80:5140
百事通,http://223.198.231.59:885/udp/239.253.64.189:5140
百视通,http://223.198.231.59:885/udp/239.253.64.184:5140
百视通,http://223.198.231.59:885/udp/239.253.64.185:5140
百视通,http://223.198.231.59:885/udp/239.253.64.186:5140
百视通,http://223.198.231.59:885/udp/239.253.64.187:5140
百视通,http://223.198.231.59:885/udp/239.253.64.188:5140
百视通,http://223.198.231.59:885/udp/239.253.64.190:5140
精选电影,http://223.198.231.59:885/udp/239.253.64.224:5140
CCTV1SD,http://223.198.231.59:885/udp/239.253.64.12:5140
CCTV2SD,http://223.198.231.59:885/udp/239.253.64.13:5140
CCTV4SD,http://223.198.231.59:885/udp/239.253.64.15:5140
CCTV5SD,http://223.198.231.59:885/udp/239.253.64.23:5140
CCTV7SD,http://223.198.231.59:885/udp/239.253.64.16:5140
CCTV9SD,http://223.198.231.59:885/udp/239.253.64.242:5140
CCTV10SD,http://223.198.231.59:885/udp/239.253.64.18:5140
CCTV11SD,http://223.198.231.59:885/udp/239.253.64.19:5140
CCTV12SD,http://223.198.231.59:885/udp/239.253.64.20:5140
CCTV13SD,http://223.198.231.59:885/udp/239.253.64.21:5140
CCTV14SD,http://223.198.231.59:885/udp/239.253.64.22:5140
CCTV17SD,http://223.198.231.59:885/udp/239.253.64.53:5140
CETV1SD,http://223.198.231.59:885/udp/239.253.64.252:5140
CGTNSD,http://223.198.231.59:885/udp/239.253.64.17:5140
重庆卫视SD,http://223.198.231.59:885/udp/239.253.64.35:5140
江苏卫视SD,http://223.198.231.59:885/udp/239.253.64.27:5140
浙江卫视SD,http://223.198.231.59:885/udp/239.253.64.28:5140
东方卫视SD,http://223.198.231.59:885/udp/239.253.64.25:5140
深圳卫视SD,http://223.198.231.59:885/udp/239.253.64.145:5140
